IMO,ShipName,ShipType,DistanceNm,Fuel_tonnes,CO2_tonnes,DWT,Cargo
9204790,General cargo ship,General cargo ship,0.0,2711.89,4795.405,5.07,
9205885,Bulk carrier,Bulk carrier,0.0,1644.343,3037.56471,,
9205897,Bulk carrier,Bulk carrier,0.0,813.837,1433.28166,,
9205902,Bulk carrier,Bulk carrier,0.0,1631.699,3330.82903,,
9205926,Bulk carrier,Bulk carrier,0.0,2179.589,4540.47208,,
9205938,Bulk carrier,Bulk carrier,0.0,1756.544,4317.64645,,
9206774,Ro-ro ship,Ro-ro ship,0.0,7609.57,19942.86,,
9206786,Ro-ro ship,Ro-ro ship,0.0,7558.07,4186.175,,
9207039,Gas carrier,Gas carrier,0.0,2547.46,7888.935,,
9208148,Gas carrier,Gas carrier,0.0,2446.85,7092.39,,
9208198,Other ship types,Other ship types,0.0,4034.32,6904.405,5.21,
9208203,Other ship types,Other ship types,0.0,3887.51,6488.405,5.46,
9209453,Ro-ro ship,Ro-ro ship,0.0,8931.16,27973.89,,
9210309,General cargo ship,General cargo ship,0.0,2404.83,4473.82,14.17,
9210701,General cargo ship,General cargo ship,0.0,402.87,696.15284,15.26,
9213088,General cargo ship,General cargo ship,0.0,4016.317,1004.46312,4.89,
9213090,General cargo ship,General cargo ship,0.0,4466.39,9126.87,4.91,
9213739,General cargo ship,General cargo ship,0.0,1880.84,945.23795,7.42,
9214379,Ro-pax ship,Ro-pax ship,0.0,16017.11,51350.84501,,
9214666,Ro-ro ship,Ro-ro ship,0.0,6846.65,11655.88,,
9214678,Ro-ro ship,Ro-ro ship,0.0,7286.84,11977.235,,
9214991,Ro-pax ship,Ro-pax ship,0.0,19323.62,32784.965,,
9215347,General cargo ship,General cargo ship,0.0,8390.24,9943.53,7.97,
9218404,Bulk carrier,Bulk carrier,0.0,2299.41,4220.95142,,
9219331,Passenger ship,Passenger ship,0.0,83.5,168.635,,
9219862,Container ship,Container ship,0.0,2910.79,6912.14,,
9219874,Container ship,Container ship,0.0,3120.4,5118.775,,
9220354,Chemical tanker,Chemical tanker,0.0,997.63894,2131.99578,,
9223784,Ro-pax ship,Ro-pax ship,0.0,14779.44,13062.45792,,
9223796,Ro-pax ship,Ro-pax ship,0.0,8129.63,0.0,,
9223904,Container ship,Container ship,0.0,1545.34,2602.44396,,
9225299,General cargo ship,General cargo ship,0.0,2751.47,8409.02,5.86,
9226360,Ro-ro ship,Ro-ro ship,0.0,4383.62,7896.62,,
9226372,Container ship,Container ship,0.0,2851.52,8384.195,,
9227053,Ro-ro ship,Ro-ro ship,0.0,5445.25,9556.03,,
9227259,Ro-ro ship,Ro-ro ship,0.0,6836.91,11379.725,,
9228801,Chemical tanker,Chemical tanker,0.0,1665.352,3660.93,,
9228813,Chemical tanker,Chemical tanker,0.0,620.6,1177.0987,,
9229087,General cargo ship,General cargo ship,0.0,1063.72,1925.495,8.95,
9230921,Bulk carrier,Bulk carrier,0.0,1213.17,1990.21,,
9231834,Container ship,Container ship,0.0,5615.57,15548.335,,
9231951,Ro-pax ship,Ro-pax ship,0.0,5385.48,17429.76,,
9232462,Container ship,Container ship,0.0,863.66,1617.12,,
9233258,Ro-pax ship,Ro-pax ship,0.0,5564.54,17206.525,,
9234288,General cargo ship,General cargo ship,136.0,2246.0,5916.3,7.15,
9234680,Chemical tanker,Chemical tanker,0.0,986.12,1709.58193,,
9234989,Container ship,Container ship,0.0,3627.471,10470.05519,,
9234991,Container ship,Container ship,0.0,3821.96,559.0298,,
9235517,Ro-pax ship,Ro-pax ship,0.0,16017.7,50150.09,,
9235529,Ro-pax ship,Ro-pax ship,0.0,16925.99,28048.86,,
9236286,Container ship,Container ship,0.0,1194.24,2746.41,,
9237369,Container ship,Container ship,0.0,3746.81,6866.35,,
9237371,Container ship,Container ship,0.0,5598.55,6803.42794,,
9239800,Bulk carrier,Bulk carrier,0.0,1363.88,2805.5,,
9240964,Ro-ro ship,Ro-ro ship,0.0,6675.5,15017.58,,
9240976,Ro-ro ship,Ro-ro ship,0.0,6481.15,15851.255,,
9242560,Container ship,Container ship,0.0,6102.55,16565.15,,
9242625,Container ship,Container ship,0.0,5689.84,14182.34,,
9242637,Container ship,Container ship,0.0,5682.85,13582.63,,
9242651,Container ship,Container ship,0.0,7533.52,23736.465,,
9243667,Passenger ship,Passenger ship,0.0,1728.8,2952.3916,,
9246152,Chemical tanker,Chemical tanker,490.0,4154.5,11397.27,,
9247728,Ro-pax ship,Ro-pax ship,0.0,2751.1,3457.13,,
9248552,General cargo ship,General cargo ship,0.0,793.994,1831.33133,8.76,
9253246,Chemical tanker,Chemical tanker,0.0,355.088,602.125,,
9253727,Container ship,Container ship,0.0,7596.554,13557.0584,,
9253741,Container ship,Container ship,0.0,7789.724,13941.21037,,
9255579,General cargo ship,General cargo ship,0.0,835.6,1435.015,9.01,
9256315,Container ship,Container ship,0.0,2455.05,4992.39,,
9256327,Container ship,Container ship,0.0,5379.23,16671.69,,
9256420,Oil tanker,Oil tanker,0.0,2291.8,5353.86,,
9256432,Oil tanker,Oil tanker,0.0,2358.81,5119.395,,
9261085,General cargo ship,General cargo ship,0.0,1177.2,1905.242,,
9263306,Bulk carrier,Bulk carrier,0.0,2132.1,3655.825,,
9267209,Bulk carrier,Bulk carrier,0.0,1578.772,2958.59332,,
9267558,Oil tanker,Oil tanker,0.0,3224.51,10205.445,,
9267560,Chemical tanker,Chemical tanker,0.0,3646.07,11689.3,,
9271884,Chemical tanker,Chemical tanker,0.0,815.75,663.355,,
9273727,Passenger ship,Passenger ship,0.0,7202.03,22707.29,,
9277319,General cargo ship,General cargo ship,1763.0,1759.24,5543.14,9.48,
9277321,General cargo ship,General cargo ship,0.0,1332.1,3503.5,7.67,
9277345,General cargo ship,General cargo ship,736.0,1624.8,5077.995,9.86,
9277383,Container ship,Container ship,0.0,3252.3,9300.065,,
9277395,Container ship,Container ship,0.0,5547.93,885.92416,,
9277400,Container ship,Container ship,0.0,5458.1,18.731,,
9278234,Ro-pax ship,Ro-pax ship,0.0,29088.89,91076.42,,
9278791,Bulk carrier,Bulk carrier,0.0,1389.735,2717.66874,,
9283978,Oil tanker,Oil tanker,0.0,3330.63,181.77,,
9284647,Chemical tanker,Chemical tanker,0.0,2278.51,4244.13808,,
9285029,Bulk carrier,Bulk carrier,0.0,1701.85,74.8952,,
9285122,Bulk carrier,Bulk carrier,0.0,1090.26,1849.39,,
9285134,Bulk carrier,Bulk carrier,0.0,2849.04,6324.02,,
9285146,Bulk carrier,Bulk carrier,0.0,906.65,2543.27,,
9285615,Vehicle carrier,Vehicle carrier,0.0,2425.98,729.125,,
9285627,Vehicle carrier,Vehicle carrier,0.0,2627.31,0.0,,
9285639,Vehicle carrier,Vehicle carrier,0.0,2253.52,3652.26,,
9285641,Vehicle carrier,Vehicle carrier,0.0,1800.83,0.0,,
9285861,Oil tanker,Oil tanker,0.0,727.87,1220.78,,
9285938,Bulk carrier,Bulk carrier,0.0,1533.59,2684.875,,
9285940,Bulk carrier,Bulk carrier,0.0,1648.27,2781.805,,
9286827,Chemical tanker,Chemical tanker,0.0,1387.72,316.84898,,
9287687,Container ship,Container ship,0.0,5771.63,303.86344,,
9287704,Container ship,Container ship,0.0,2397.99,5601.735,,
9287716,Container ship,Container ship,0.0,3911.76,12422.16,,
9287792,Container ship,Container ship,0.0,4883.65,12487.29,,
9288045,General cargo ship,General cargo ship,0.0,6010.35,11788.20479,8.82,
9288057,General cargo ship,General cargo ship,0.0,5223.34,10191.46282,9.02,
9288069,General cargo ship,General cargo ship,0.0,5191.37,10477.2619,8.05,
9288071,General cargo ship,General cargo ship,0.0,6544.83,11953.65479,7.75,
9288291,Bulk carrier,Bulk carrier,0.0,1972.856,3443.8388,,
9288825,Chemical tanker,Chemical tanker,0.0,2786.0,5095.095,,
9288837,Oil tanker,Oil tanker,0.0,4207.95,7586.145,,
9288849,Chemical tanker,Chemical tanker,0.0,3172.23,6143.8,,
9290074,General cargo ship,General cargo ship,0.0,1824.982,1533.78868,6.77,
9291262,Oil tanker,Oil tanker,0.0,781.9,1372.565,,
9293923,Bulk carrier,Bulk carrier,0.0,1739.706,3223.32983,,
9294977,General cargo ship,General cargo ship,0.0,2324.754,2252.32288,6.34,
9295529,Container ship,Container ship,0.0,4899.0,10093.0628,,
9296418,Oil tanker,Oil tanker,0.0,1954.68,3220.73,,
9297321,Oil tanker,Oil tanker,0.0,3149.94,5705.19,,
9297333,Oil tanker,Oil tanker,0.0,5367.51,10136.895,,
9297589,Container ship,Container ship,0.0,2487.35,4430.87,,
9298387,Chemical tanker,Chemical tanker,0.0,0.0,0.0,,
9298507,Oil tanker,Oil tanker,0.0,1708.06,3155.99,,
9299422,Oil tanker,Oil tanker,0.0,219.97,346.565,,
9300829,Chemical tanker,Chemical tanker,1840.9,3656.23,11721.88,,
9301081,Container ship,Container ship,0.0,2656.51,5601.81,,
9301108,Container ship,Container ship,0.0,5364.58,15170.59,,
9301122,Container ship,Container ship,0.0,5041.26,1304.025,,
9301201,Container ship,Container ship,0.0,3927.0,5048.36394,,
9301598,General cargo ship,General cargo ship,418.0,1809.62,5801.64,10.53,
9301603,General cargo ship,General cargo ship,1716.0,1870.66,4958.46,9.62,
9303302,General cargo ship,General cargo ship,0.0,1122.13,1887.16,9.95,
9305556,Oil tanker,Oil tanker,0.0,7874.01,22967.77,,
9305855,Oil tanker,Oil tanker,0.0,1661.67,2937.565,,
9305867,Oil tanker,Oil tanker,0.0,136.9,267.925,,
9306067,Container ship,Container ship,0.0,4874.46,15414.4,,
9306201,Container ship,Container ship,0.0,3250.2,5938.39,,
9306225,Container ship,Container ship,0.0,3934.99,11120.4,,
9307358,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,13091.05,37290.88406,,
9307360,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,12496.37,34184.91888,,
9307372,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,12432.13,38667.38912,,
9307384,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,12098.16,32958.99829,,
9307671,Oil tanker,Oil tanker,0.0,2519.44,212.31,,
9307827,Oil tanker,Oil tanker,0.0,3416.93,6113.295,,
9308546,Chemical tanker,Chemical tanker,0.0,2319.83,6596.685,,
9308558,Chemical tanker,Chemical tanker,0.0,3484.55,1601.12588,,
9308900,Chemical tanker,Chemical tanker,0.0,1936.71,5599.805,,
9309423,Oil tanker,Oil tanker,0.0,4066.54,6784.495,,
9309435,Oil tanker,Oil tanker,0.0,4738.49,8147.205,,
9310355,Chemical tanker,Chemical tanker,131.94,3287.17,10240.825,,
9311036,Oil tanker,Oil tanker,0.0,339.5,557.73,,
9311751,Chemical tanker,Chemical tanker,0.0,545.62,928.715,,
9311878,General cargo ship,General cargo ship,0.0,1095.27,2153.63,30.22,
9312169,Other ship types,Other ship types,0.0,3042.09,5381.475,,
9312195,Container ship,Container ship,0.0,5074.22,10445.93682,,
9312200,Container ship,Container ship,0.0,4978.49,13360.255,,
9312212,Container ship,Container ship,0.0,2808.43,4876.585,,
9313199,Container ship,Container ship,0.0,150.7,144.4806,,
9313228,Container ship,Container ship,0.0,5530.598,17101.9,,
9314351,General cargo ship,General cargo ship,0.0,1646.34,2802.54,7.73,
9315006,Container ship,Container ship,0.0,5326.64,14814.83,,
9315018,Container ship,Container ship,0.0,5086.82,14250.82,,
9315020,Container ship,Container ship,0.0,1009.66,2495.08,,
9315757,Chemical tanker,Chemical tanker,0.0,447.173,737.76,,
9316282,Vehicle carrier,Vehicle carrier,0.0,6703.46,18554.5,,
9316294,Vehicle carrier,Vehicle carrier,0.0,5277.73,12005.81,,
9316309,Vehicle carrier,Vehicle carrier,0.0,5999.88,16254.295,,
9316311,Vehicle carrier,Vehicle carrier,0.0,5578.61,14492.57,,
9317559,Bulk carrier,Bulk carrier,0.0,1588.59,3768.385,,
9317808,General cargo ship,General cargo ship,0.0,642.27,429.97269,6.58,
9317951,Oil tanker,Oil tanker,0.0,4666.24,8264.39,,
9318008,Oil tanker,Oil tanker,0.0,2332.5,4764.21,,
9318010,Oil tanker,Oil tanker,0.0,4021.91,6860.735,,
9318228,Chemical tanker,Chemical tanker,0.0,2481.89,7956.97,,
9318333,Oil tanker,Oil tanker,0.0,2004.44,3530.6,,
9318565,Oil tanker,Oil tanker,0.0,1272.74,0.0,,
9318773,Container ship,Container ship,0.0,4166.35,13357.31,,
9318955,General cargo ship,General cargo ship,0.0,1668.46,3630.535,18.4,
9319064,General cargo ship,General cargo ship,0.0,2697.11,8098.805,5.95,
9319569,Container ship,Container ship,0.0,0.0,0.0,,
9320063,Oil tanker,Oil tanker,0.0,2447.01,7822.05,,
9320714,Oil tanker,Oil tanker,0.0,3413.45,5662.0164,,
9321615,Chemical tanker,Chemical tanker,0.0,2204.95,7069.06,,
9321677,Oil tanker,Oil tanker,0.0,881.1,1503.95,,
9321718,Oil tanker,Oil tanker,0.0,788.4,1329.255,,
9322009,Container ship,Container ship,0.0,4160.42,7795.785,,
9322011,Container ship,Container ship,0.0,5600.59,16567.34,,
9322695,Oil tanker,Oil tanker,0.0,2241.3,336.82,,
9322700,Oil tanker,Oil tanker,0.0,2200.74,205.885,,
9322712,Oil tanker,Oil tanker,0.0,2511.92,296.2,,
9323388,Chemical tanker,Chemical tanker,0.0,3613.59,7716.48,,
9323390,Chemical tanker,Chemical tanker,0.0,3790.79,6470.085,,
9323405,Chemical tanker,Chemical tanker,0.0,2530.06,4953.195,,
9323584,Oil tanker,Oil tanker,0.0,2513.77,243.46,,
9323699,Ro-pax ship,Ro-pax ship,0.0,2150.91,6751.03,,
9323819,Oil tanker,Oil tanker,0.0,1844.46,4103.895,,
9324954,Container ship,Container ship,0.0,4198.1,0.0,,
9325908,Oil tanker,Oil tanker,0.0,4043.2,9435.44,,
9326500,Oil tanker,Oil tanker,0.0,3365.28,7001.5601,,
9326512,Oil tanker,Oil tanker,0.0,1216.05,2523.82,,
9326873,Oil tanker,Oil tanker,0.0,71.7,162.39,,
9327360,Chemical tanker,Chemical tanker,0.0,459.132,863.62,,
9327384,Chemical tanker,Chemical tanker,0.0,323.55,0.0,,
9327449,Chemical tanker,Chemical tanker,0.0,1615.26,3120.1569,,
9328053,Container ship,Container ship,0.0,1718.07,3957.865,,
9328144,Chemical tanker,Chemical tanker,0.0,355.7,0.0,,
9328974,Chemical tanker,Chemical tanker,0.0,969.3,2373.025,,
9329849,Ro-pax ship,Ro-pax ship,0.0,9666.28,30301.17,,
9329851,Ro-pax ship,Ro-pax ship,0.0,8370.8,26245.93,,
9332157,Oil tanker,Oil tanker,0.0,5480.68,9471.955,,
9332626,Oil tanker,Oil tanker,0.0,831.1,1432.38,,
9333357,Container ship,Container ship,0.0,4098.71,9203.675,,
9333395,Container ship,Container ship,0.0,5144.61,15773.275,,
9333553,General cargo ship,General cargo ship,0.0,2227.03,3653.20944,6.49,
9334325,Oil tanker,Oil tanker,0.0,2364.53,6780.725,,
9334959,Ro-ro ship,Ro-ro ship,0.0,7397.1,23208.645,,
9337224,General cargo ship,General cargo ship,0.0,1175.0,2045.55,,
9339090,Container ship,Container ship,0.0,2635.54,6687.98,,
9340582,Oil tanker,Oil tanker,0.0,2849.478,1011.58286,,
9340594,Oil tanker,Oil tanker,0.0,1506.18,3327.625,,
9340623,Oil tanker,Oil tanker,0.0,2445.95,4782.295,,
9341108,General cargo ship,General cargo ship,0.0,1988.2,6374.18,14.2,
9341184,Oil tanker,Oil tanker,0.0,2375.04,267.14,,
9341433,Oil tanker,Oil tanker,0.0,1622.61,3174.275,,
9341445,Oil tanker,Oil tanker,0.0,2369.62,4529.905,,
9341976,Container ship,Container ship,0.0,4099.92,105.6941,,
9343261,Ro-ro ship,Ro-ro ship,0.0,5280.95,10933.495,,
9343273,Ro-ro ship,Ro-ro ship,0.0,8988.41,22443.11,,
9344435,Oil tanker,Oil tanker,0.0,2480.3,5223.56,,
9344710,Container ship,Container ship,0.0,5513.75,16629.29,,
9344722,Container ship,Container ship,0.0,6348.44,18870.485,,
9345386,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,13290.28,39588.14438,,
9345398,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,11004.51,28734.77191,,
9346433,Oil tanker,Oil tanker,0.0,207.94,324.36058,,
9346445,Oil tanker,Oil tanker,0.0,3101.16,2842.22,,
9346811,Bulk carrier,Bulk carrier,0.0,2255.74,4886.59,,
9346823,Bulk carrier,Bulk carrier,0.0,1696.08,3688.03,,
9346835,Bulk carrier,Bulk carrier,0.0,1996.55,4550.525,,
9346847,Bulk carrier,Bulk carrier,0.0,2172.06,4342.57,,
9347035,General cargo ship,General cargo ship,0.0,2893.39,5532.59358,6.99,
9347748,Chemical tanker,Chemical tanker,0.0,710.47,1796.93,,
9348297,Chemical tanker,Chemical tanker,0.0,3155.4559,7900.52,,
9348936,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,6655.09,20990.83,,
9348948,Container/ro-ro cargo ship,Container/ro-ro cargo ship,0.0,7988.08,24709.325,,
9349174,Container ship,Container ship,0.0,3883.39,9026.575,,
9349215,Container ship,Container ship,0.0,3850.37,9431.44,,
9349435,General cargo ship,General cargo ship,430.0,2794.54,6204.04,6.22,
9349461,General cargo ship,General cargo ship,507.0,2162.37,4332.77,6.12,
9349863,Ro-pax ship,Ro-pax ship,0.0,31409.83,98335.39,,
9350771,General cargo ship,General cargo ship,1181.0,1882.87,5343.765,10.2,
9350783,General cargo ship,General cargo ship,1167.0,1773.98,5687.4,11.73,
9350886,Gas carrier,Gas carrier,0.0,3101.92,9392.91,,
9350898,Gas carrier,Gas carrier,0.0,1756.94,5049.755,,
9351567,Oil tanker,Oil tanker,0.0,2489.07,242.85,,
9351634,Oil tanker,Oil tanker,0.0,1598.18,0.0,,
9353084,Chemical tanker,Chemical tanker,0.0,1948.92,4982.17,,
9353101,Chemical tanker,Chemical tanker,0.0,3008.84,7060.655,,
9353735,Container ship,Container ship,0.0,3797.645,11294.305,,
9354349,Container ship,Container ship,0.0,2074.53,3524.78,,
9354351,Container ship,Container ship,0.0,3694.32,11612.28,,
9354363,Container ship,Container ship,0.0,5585.71,13840.65238,,
9354442,Container ship,Container ship,0.0,2516.29,5292.97,,
9356622,Chemical tanker,Chemical tanker,0.0,3119.61,8253.965,,
9357597,Ro-ro ship,Ro-ro ship,0.0,11782.45,36806.39,,
9357602,Ro-ro ship,Ro-ro ship,0.0,12113.255,37869.74,,
9358369,Bulk carrier,Bulk carrier,0.0,1717.8,3015.315,,
9358371,Bulk carrier,Bulk carrier,0.0,372.68,636.665,,
9358383,Bulk carrier,Bulk carrier,0.0,2570.5,5092.635,,
9358395,Bulk carrier,Bulk carrier,0.0,1209.98,2394.86,,
9358539,Container ship,Container ship,0.0,2612.74,6706.79,,
9358890,Container ship,Container ship,0.0,2653.39,1456.955,,
9358905,Container ship,Container ship,0.0,3806.01,9951.77,,
9358931,Oil tanker,Oil tanker,0.0,2459.3,299.89,,
9359258,Container ship,Container ship,0.0,5162.25,16177.68,,
9360972,Container ship,Container ship,0.0,245.12,397.645,,
9360984,Container ship,Container ship,0.0,1191.58,0.0,,
9362152,Oil tanker,Oil tanker,0.0,2322.56,5764.745,,
9363534,Other ship types,Other ship types,0.0,1171.79,2157.49,13.12,
9364722,Ro-pax ship,Ro-pax ship,0.0,23241.52,48138.86,,
9365623,Chemical tanker,Chemical tanker,0.0,2242.33,3575.66818,,
9365635,Chemical tanker,Chemical tanker,0.0,79.4,211.42665,,
9365661,General cargo ship,General cargo ship,0.0,2837.18,4783.5752,5.89,
9365829,Container ship,Container ship,0.0,3551.82,5541.78,,
9365843,Container ship,Container ship,0.0,2277.33,5685.98,,
9365855,Container ship,Container ship,0.0,4386.39,6840.685,,
9365867,Container ship,Container ship,0.0,4144.9,6467.565,,
9365879,Container ship,Container ship,0.0,4727.25,7373.89,,
9365960,Container ship,Container ship,0.0,4267.707,13388.76,,
9365972,Container ship,Container ship,0.0,4197.8,7206.934,,
9365984,Container ship,Container ship,0.0,3520.43,9342.195,,
9366122,Other ship types,Other ship types,0.0,1939.21,4000.105,6.27,
9366134,Other ship types,Other ship types,0.0,2802.34,6065.29,6.27,
9366146,Other ship types,Other ship types,0.0,2598.31,5104.96,6.2,
9366158,Other ship types,Other ship types,0.0,2399.73,4819.235,5.96,
9366445,Container ship,Container ship,0.0,5933.36,10175.72,,
9366471,Container ship,Container ship,0.0,6904.77,12617.99,,
9368326,Other ship types,Other ship types,0.0,2975.25,5531.645,6.8,
9369007,Container ship,Container ship,0.0,4271.36,11138.105,,
9369069,General cargo ship,General cargo ship,0.0,1958.22,3694.74,5.62,
9369291,General cargo ship,General cargo ship,0.0,1310.92,3298.275,7.71,
9369306,General cargo ship,General cargo ship,0.0,654.56,1250.445,6.52,
9370018,Ro-pax ship,Ro-pax ship,0.0,1439.12,3307.55,,
9371402,Container ship,Container ship,0.0,4346.56,10173.895,,
9371610,Oil tanker,Oil tanker,0.0,2578.37,288.89,,
9371804,Chemical tanker,Chemical tanker,0.0,1205.44423,2139.285,,
9371878,Oil tanker,Oil tanker,0.0,2578.28,8085.145,,
9372274,Container ship,Container ship,0.0,5109.47,16197.33,,
9372652,Chemical tanker,Chemical tanker,0.0,2928.77,9306.425,,
9373137,Chemical tanker,Chemical tanker,0.0,3882.01,10683.11438,,
9373230,Chemical tanker,Chemical tanker,0.0,3884.08,7426.57072,,
9373632,Chemical tanker,Chemical tanker,0.0,2563.25,6450.51369,,
9373644,Chemical tanker,Chemical tanker,0.0,2523.44,6839.33415,,
9374519,Ro-pax ship,Ro-pax ship,0.0,21843.93,66849.18,,
9374973,General cargo ship,General cargo ship,0.0,2198.96,3448.66916,12.24,
9375252,Container ship,Container ship,0.0,4440.89,8223.27,,
9375604,Chemical tanker,Chemical tanker,0.0,4380.3,8246.92,,
9375616,Oil tanker,Oil tanker,0.0,923.75,1995.91,,
9376141,Container ship,Container ship,0.0,2878.3,5939.335,,
9376854,Chemical tanker,Chemical tanker,0.0,2733.7,6669.905,,
9378682,Ro-pax ship,Ro-pax ship,0.0,23617.16,72731.84,,
9378723,Oil tanker,Oil tanker,0.0,2357.16,332.04,,
9378735,Oil tanker,Oil tanker,0.0,2086.85,255.675,,
9379313,Oil tanker,Oil tanker,0.0,2828.42,5276.07,,
9380831,Chemical tanker,Chemical tanker,0.0,2751.8,4938.235,,
9381706,General cargo ship,General cargo ship,0.0,2278.14,6663.79,5.43,
9383443,Oil tanker,Oil tanker,0.0,3406.67,8109.375,,
9383857,Bulk carrier,Bulk carrier,0.0,3620.692,5973.28,,
9383900,LNG carrier,LNG carrier,0.0,18272.23,14554.26,,
9385881,General cargo ship,General cargo ship,0.0,1574.47,4041.0,6.9,
9385893,General cargo ship,General cargo ship,0.0,1954.27,3725.0597,10.45,
9385908,General cargo ship,General cargo ship,0.0,2208.78,6498.015,9.32,
9386225,Vehicle carrier,Vehicle carrier,0.0,5638.92,5013.195,,
9386249,Chemical tanker,Chemical tanker,0.0,3096.32,8963.34,,
9386718,Container ship,Container ship,0.0,6014.88,10344.7,,
9386914,Bulk carrier,Bulk carrier,0.0,2362.69,4641.86,,
9386926,Bulk carrier,Bulk carrier,0.0,1909.55,4216.52,,
9386976,Container ship,Container ship,0.0,3224.17,8275.095,,
9386988,Container ship,Container ship,0.0,1754.54,1878.655,,
9387425,Container ship,Container ship,0.0,4274.65,13376.72,,
9387592,Container ship,Container ship,0.0,4503.75,1013.5,,
9388895,Other ship types,Other ship types,0.0,385.86,820.585,,
9389306,Container ship,Container ship,0.0,4546.96,7634.725,,
9389813,Bulk carrier,Bulk carrier,0.0,1037.839,1649.5,,
9390769,Oil tanker,Oil tanker,0.0,2066.92,3441.75,,
9390991,Chemical tanker,Chemical tanker,240.0,2884.0,8135.22,,
9391000,Chemical tanker,Chemical tanker,0.0,3257.35,9914.07,,
9392468,Oil tanker,Oil tanker,0.0,766.03,1193.44,,
9392470,Oil tanker,Oil tanker,0.0,984.79,1872.135,,
9392482,Oil tanker,Oil tanker,0.0,1704.73,3107.6802,,
9393149,Bulk carrier,Bulk carrier,0.0,1767.17,3460.515,,
9393151,Bulk carrier,Bulk carrier,0.0,1358.81,3192.685,,
9393163,Bulk carrier,Bulk carrier,0.0,978.13,2381.375,,
9393448,Bulk carrier,Bulk carrier,0.0,1894.45,3968.745,,
9393450,Bulk carrier,Bulk carrier,0.0,2468.83,6230.36,,
9393462,Bulk carrier,Bulk carrier,0.0,2617.0,5726.46,,
9393474,Bulk carrier,Bulk carrier,0.0,1964.38,4184.165,,
9393541,Other ship types,Other ship types,0.0,3535.9,6520.1,4.88,
9393565,Other ship types,Other ship types,0.0,1583.69,3126.99,5.42,
9393981,Other ship types,Other ship types,0.0,2564.78,4601.185,127.28,
9395343,Ro-ro ship,Ro-ro ship,0.0,7336.893,12613.445,,
9395355,Ro-ro ship,Ro-ro ship,0.0,8513.38,12797.0,,
9395563,Container ship,Container ship,0.0,2865.26,4870.77,,
9395575,Container ship,Container ship,0.0,5181.45,16108.645,,
9396696,Container ship,Container ship,0.0,973.0,2233.155,,
9397171,General cargo ship,General cargo ship,0.0,2201.12,4006.0625,6.69,
9398773,Container ship,Container ship,0.0,3672.42,11504.11,,
9400708,Chemical tanker,Chemical tanker,0.0,2565.16,7865.62,,
9401128,Chemical tanker,Chemical tanker,0.0,2081.99,3417.32,,
9401544,Oil tanker,Oil tanker,0.0,2180.25,6134.795,,
9401556,Oil tanker,Oil tanker,0.0,2241.62,6583.84,,
9402043,Other ship types,Other ship types,0.0,2305.59,3986.81,8.22,
9402055,Other ship types,Other ship types,0.0,2322.36,4378.105,10.25,
9402081,Other ship types,Other ship types,0.0,1070.79,2026.525,46.07,
9402093,Other ship types,Other ship types,0.0,1496.06,2714.975,9.01,
9404388,Chemical tanker,Chemical tanker,0.0,1132.41,1838.59,,
9404443,Bulk carrier,Bulk carrier,0.0,1291.61,2132.15,,
9404584,LNG carrier,LNG carrier,0.0,2955.22,5619.81801,,
9404625,Gas carrier,Gas carrier,0.0,3257.61,10151.135,,
9404704,Other ship types,Other ship types,0.0,4832.17,9136.67,104.26,
9404716,Other ship types,Other ship types,0.0,914.76,1424.35,33.18,
9405320,Chemical tanker,Chemical tanker,0.0,36.0,66.83,,
9406582,Chemical tanker,Chemical tanker,0.0,2700.49,8514.17,,
9407665,Vehicle carrier,Vehicle carrier,0.0,1646.39,1493.1904,,
9407689,Vehicle carrier,Vehicle carrier,0.0,6127.18,12327.53,,
9407976,Oil tanker,Oil tanker,0.0,2291.63,81.085,,
9407988,Oil tanker,Oil tanker,0.0,3219.42,400.5,,
9409742,Bulk carrier,Bulk carrier,0.0,590.35,1045.89,,
9410131,Chemical tanker,Chemical tanker,0.0,347.6,733.6082,,
9410909,Chemical tanker,Chemical tanker,0.0,1556.84,2748.565,,
9410911,Chemical tanker,Chemical tanker,0.0,0.0,0.0,,
9412517,Container ship,Container ship,0.0,4315.42,9871.035,,
9412529,Container ship,Container ship,0.0,4645.06,11838.445,,
9412531,Container ship,Container ship,0.0,4333.12,13437.19,,
9413913,Bulk carrier,Bulk carrier,0.0,1454.67,2909.065,,
9413925,Bulk carrier,Bulk carrier,0.0,1661.19,2765.33,,
9415040,General cargo ship,General cargo ship,0.0,2124.61,6596.77,9.24,
9415064,Other ship types,Other ship types,0.0,1099.45,342.915,72.48,
9415155,Bulk carrier,Bulk carrier,0.0,1329.23,2370.065,,
9415167,Bulk carrier,Bulk carrier,0.0,1911.24,3529.975,,
9415208,Bulk carrier,Bulk carrier,0.0,1141.83,2179.055,,
9415246,Bulk carrier,Bulk carrier,0.0,1767.98,2984.02,,
