IMO,ShipName,ShipType,DistanceNm,Fuel_tonnes,CO2_tonnes,DWT,Cargo
9866744,Bulk carrier,Bulk carrier,0.0,359.618,584.88526,,
9866756,Bulk carrier,Bulk carrier,0.0,624.94,1219.57115,,
9866768,Bulk carrier,Bulk carrier,0.0,2143.711,4071.17157,,
9868962,LNG carrier,LNG carrier,0.0,1869.42,5219.97,,
9868974,LNG carrier,LNG carrier,0.0,1745.88,4834.55,,
9869710,Bulk carrier,Bulk carrier,0.0,1229.91,2613.62,,
9870472,Gas carrier,Gas carrier,0.0,1553.77,4269.375,,
9870666,Chemical tanker,Chemical tanker,0.0,2427.54,7471.975,,
9870678,Chemical tanker,Chemical tanker,0.0,1951.92,5966.515,,
9872327,Passenger ship,Passenger ship,0.0,893.903,1625.575,,
9876828,Chemical tanker,Chemical tanker,0.0,2225.37,6614.81,,
9876830,Chemical tanker,Chemical tanker,0.0,2102.15,6220.8,,
9878319,Ro-pax ship,Ro-pax ship,8609.0,4284.3,11779.69,,
9880661,Passenger ship,Passenger ship,0.0,898.112,1808.30103,,
9880673,Passenger ship,Passenger ship,0.0,0.0,0.0,,
9880685,Passenger ship,Passenger ship,0.0,962.02,2235.515,,
9882396,Oil tanker,Oil tanker,0.0,1321.37,2422.355,,
9882401,Oil tanker,Oil tanker,0.0,898.02,1519.29,,
9882413,Oil tanker,Oil tanker,0.0,1828.96,3491.995,,
9882425,Oil tanker,Oil tanker,0.0,1591.88,3045.775,,
9884679,Ro-ro ship,Ro-ro ship,0.0,12290.82,35324.86,,
9884681,Ro-ro ship,Ro-ro ship,0.0,12452.76,35904.46,,
9884966,Bulk carrier,Bulk carrier,0.0,6978.46,11135.19,,
9884978,Bulk carrier,Bulk carrier,0.0,3505.14,5657.145,,
9886225,Passenger ship,Passenger ship,0.0,4789.83,12375.44546,,
9887803,Oil tanker,Oil tanker,0.0,4337.49,7479.29,,
9887815,Oil tanker,Oil tanker,0.0,4619.81,7523.91,,
9892432,Oil tanker,Oil tanker,0.0,7979.49,22542.905,,
9892444,Oil tanker,Oil tanker,0.0,6504.1,19549.905,,
9892482,Other ship types,Other ship types,0.0,2317.4,3711.19962,11.51,
9892494,Other ship types,Other ship types,0.0,3161.64,5232.29,7.53,
9892509,Other ship types,Other ship types,0.0,2146.0,3605.51,10.8,
9892511,Other ship types,Other ship types,0.0,2264.22,3743.4,8.34,
9892523,Other ship types,Other ship types,0.0,4172.46,6980.7,8.28,
9892535,Other ship types,Other ship types,0.0,4321.92,7292.245,9.38,
9892884,General cargo ship,General cargo ship,0.0,2589.51,7294.29,16.02,
9892896,General cargo ship,General cargo ship,0.0,2332.92,6401.765,11.24,
9892901,General cargo ship,General cargo ship,49.0,2026.24,5548.27,10.19,
9892975,Oil tanker,Oil tanker,0.0,3769.25,8209.815,,
9895252,Passenger ship,Passenger ship,0.0,837.09,2189.665,,
9895795,Bulk carrier,Bulk carrier,0.0,2220.22,3644.065,,
9895800,Bulk carrier,Bulk carrier,0.0,5177.44,8647.14,,
9897121,Other ship types,Other ship types,0.0,2737.05,4888.42,8.08,
9897133,Other ship types,Other ship types,0.0,3220.83,5233.105,9.6,
9900095,Bulk carrier,Bulk carrier,0.0,765.62,1221.08,,
9903968,Oil tanker,Oil tanker,0.0,2870.82,4785.47,,
9903970,Oil tanker,Oil tanker,0.0,1494.8,2490.085,,
9904041,Chemical tanker,Chemical tanker,0.0,2554.0,7364.76,,
9904053,Oil tanker,Oil tanker,0.0,2785.07,7975.53,,
9905708,Bulk carrier,Bulk carrier,0.0,586.64,1312.075,,
9905710,Bulk carrier,Bulk carrier,0.0,659.12,1196.455,,
9905722,Bulk carrier,Bulk carrier,0.0,1505.32,2553.97,,
9905734,Bulk carrier,Bulk carrier,0.0,1069.61,2012.255,,
9909247,Chemical tanker,Chemical tanker,0.0,2041.28,6467.61,,
9909649,Chemical tanker,Chemical tanker,662.4,3030.5,8863.99,,
9909651,Chemical tanker,Chemical tanker,0.0,2838.89,8085.86,,
9910105,Bulk carrier,Bulk carrier,0.0,318.4,667.765,,
9910349,Bulk carrier,Bulk carrier,0.0,3536.39,5944.355,,
9910351,Bulk carrier,Bulk carrier,0.0,1212.11,1982.195,,
9910363,Bulk carrier,Bulk carrier,0.0,2098.85,3539.505,,
9911927,General cargo ship,General cargo ship,0.0,1760.72,5166.295,5.81,
9911939,Bulk carrier,Bulk carrier,0.0,1609.66,5160.56,,
9919890,LNG carrier,LNG carrier,0.0,5474.61,7567.67,,
9921740,Passenger ship,Passenger ship,0.0,1635.5,4670.745,,
9925837,Container ship,Container ship,0.0,8262.3,18571.4054,,
9937270,Bulk carrier,Bulk carrier,0.0,887.56,1456.965,,
9937282,Bulk carrier,Bulk carrier,0.0,961.53,1566.925,,
9937294,Bulk carrier,Bulk carrier,0.0,207.97,337.895,,
9937309,Bulk carrier,Bulk carrier,0.0,773.2,1412.21,,
9941609,Bulk carrier,Bulk carrier,0.0,1433.14,2654.64,,
9941611,Bulk carrier,Bulk carrier,0.0,3522.32,5912.405,,
9941623,Bulk carrier,Bulk carrier,0.0,2013.0,3281.145,,
9941635,Bulk carrier,Bulk carrier,0.0,984.79,1632.44,,
9944546,Container ship,Container ship,0.0,5472.53948,3253.705,,
9953509,LNG carrier,LNG carrier,0.0,9572.33,6162.0839,,
9953511,LNG carrier,LNG carrier,0.0,11997.616,11480.65205,,
9953523,LNG carrier,LNG carrier,0.0,4458.2,5666.27821,,
9955571,Bulk carrier,Bulk carrier,0.0,3034.74,4835.31,,
9955583,Bulk carrier,Bulk carrier,0.0,1298.34,2056.905,,
9955595,Bulk carrier,Bulk carrier,0.0,3770.38,6120.19,,
9955789,Container ship,Container ship,0.0,6074.17,11434.345,,
9956862,General cargo ship,General cargo ship,0.0,1532.66,4619.26,6.45,
9959541,Container ship,Container ship,0.0,1909.58,3163.06,,
9961283,Container ship,Container ship,0.0,4451.9,11910.795,,
9961295,Container ship,Container ship,0.0,3745.0,9532.345,,
9961300,Container ship,Container ship,0.0,3112.9,7914.44,,
9961312,Container ship,Container ship,0.0,2371.0,5957.3355,,
9961348,Container ship,Container ship,0.0,493.6,788.78,,
9961350,Container ship,Container ship,0.0,1213.0,1880.865,,
9961362,Container ship,Container ship,0.0,194.5,222.0776,,
9962419,LNG carrier,LNG carrier,0.0,3565.791,4933.18121,,
9963449,LNG carrier,LNG carrier,0.0,738.9503,1001.95944,,
9964613,Container ship,Container ship,0.0,4553.801,9601.31,,
9964625,Container ship,Container ship,0.0,3479.371,10441.835,,
9964637,Container ship,Container ship,0.0,1214.461,3344.015,,
9967940,Chemical tanker,Chemical tanker,0.0,388.08,705.2345,,
9968475,Bulk carrier,Bulk carrier,0.0,620.03,1086.66,,
9968487,Bulk carrier,Bulk carrier,0.0,1072.28,1697.23,,
9968499,Bulk carrier,Bulk carrier,0.0,1102.74,2179.525,,
9968504,Bulk carrier,Bulk carrier,0.0,1048.44,1750.265,,
9968891,Container ship,Container ship,0.0,5071.07,14396.48,,
9968906,Container ship,Container ship,0.0,3761.74,10286.595,,
9968918,Container ship,Container ship,0.0,688.81,1761.915,,
9968920,Container ship,Container ship,0.0,521.9,875.22,,
9971850,General cargo ship,General cargo ship,0.0,603.28,1141.965,2.45,
9971862,General cargo ship,General cargo ship,0.0,886.1,1840.405,3.08,
9972505,Other ship types,Other ship types,0.0,2548.99,6085.645,9.7,
9972517,Other ship types,Other ship types,0.0,2525.97,4263.425,6.16,
9975363,Bulk carrier,Bulk carrier,0.0,847.472,1590.12913,,
9975375,Bulk carrier,Bulk carrier,0.0,649.809,1082.22291,,
9975387,Bulk carrier,Bulk carrier,0.0,245.75,404.7817,,
9975399,Bulk carrier,Bulk carrier,0.0,381.961,651.91635,,
9975404,Bulk carrier,Bulk carrier,0.0,364.26,586.57722,,
9975416,Bulk carrier,Bulk carrier,0.0,222.512,352.74776,,
9976965,Container ship,Container ship,0.0,2217.182,6313.93,,
9977426,Container ship,Container ship,0.0,1944.27,4608.68,,
9979503,Bulk carrier,Bulk carrier,0.0,525.95994,818.91963,,
9981063,Container ship,Container ship,0.0,182.48,284.475,,
9983217,Bulk carrier,Bulk carrier,0.0,731.86,1210.22,,
9985942,Container ship,Container ship,0.0,2215.89,3616.825,,
9988097,General cargo ship,General cargo ship,0.0,668.36,1783.625,8.31,
9988102,General cargo ship,General cargo ship,0.0,249.31,682.665,9.25,
